Name - Monthly Inflation Rates, by Commodity Group, 2021-2023
Source - Retail Price Survey of Commodities for the Generation of Consumer Price Index, Philippine StatisticsPhilippine Statistics Authority (PSA)
Units - Percent
Description - 
Footnote - Seasonally Adjusted Consumer Price Index (2018=100): January 2022
Date Created - 2023-08-03
Date Modified - 2023-08-03

 ,"2021M1","2021M2","2021M3","2021M4","2021M5","2021M6","2021M7","2021M8","2021M9","2021M10","2021M11","2021M12","2022M1","2022M2","2022M3","2022M4","2022M5","2022M6","2022M7","2022M8","2022M9","2022M10","2022M11","2022M12","2023M1","2023M2","2023M3","2023M4","2023M5","2023M6","2023M7","2023M8","2023M9",
"Philippines",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",
"  All Items","3.7","4.2","4.1","4.1","4.1","3.7","3.7","4.4","4.2","4.0","3.7","3.2","3.0","3.0","4.0","4.9","5.4","6.5","6.4","6.3","6.9","7.7","8.0","8.1","8.7","8.6","7.6","6.6","6.1","5.4","4.7","5.3","6.1",
"    Food and Non-Alcoholic Beverages","5.9","6.2","5.3","3.8","3.5","3.6","3.9","5.6","5.0","3.7","2.2","1.6","1.7","1.2","2.6","3.8","4.9","5.9","6.9","6.3","7.4","9.4","10.0","10.2","10.7","10.8","9.3","7.9","7.4","6.7","6.3","8.1","9.7",
"    Alcoholic Beverages and Tobacco","11.3","11.7","11.3","11.2","11.1","10.4","9.3","9.4","9.5","8.7","6.9","6.2","5.6","4.7","4.8","5.9","6.8","8.7","8.5","9.3","9.8","10.4","10.6","10.7","10.9","11.0","12.2","12.7","12.3","11.6","10.9","10.1","9.8",
"    Clothing and Footwear","1.6","1.7","1.7","1.7","1.9","1.8","1.9","1.8","1.9","1.9","2.0","1.9","2.0","1.9","1.9","2.0","2.1","2.4","2.5","2.8","2.9","3.1","3.6","3.9","4.4","4.8","5.0","5.1","5.1","5.1","4.8","4.8","4.7",
"    Housing, Water, Electricity, Gas, and Other Fuels ","0.2","0.6","0.7","1.3","1.7","2.0","2.7","3.4","3.8","4.3","4.8","5.1","4.5","4.8","6.2","6.9","6.5","9.3","5.7","6.8","7.3","7.4","6.9","7.0","8.6","8.6","7.6","6.5","6.5","5.6","4.5","2.5","2.4",
"    Furnishing, Household Equipment and Routine Household Maintenance","2.6","2.3","1.8","1.9","2.2","2.2","2.1","2.0","2.2","2.1","2.1","2.1","2.4","2.3","2.6","2.6","2.5","2.4","3.1","3.4","3.5","3.8","4.5","4.8","5.2","6.2","6.2","6.1","6.2","6.0","5.8","5.6","5.4",
"    Health","3.8","3.9","4.0","4.0","4.1","3.9","3.9","3.8","3.8","3.7","3.6","3.2","3.1","2.7","2.5","2.4","2.4","2.2","2.4","2.5","2.4","2.6","2.8","3.1","3.3","4.0","3.9","4.1","4.1","3.9","3.9","3.9","4.1",
"    Transport","6.6","8.2","11.7","16.6","16.2","10.2","7.1","6.9","5.6","7.6","9.8","6.6","7.0","8.8","10.3","13.0","14.6","14.3","18.1","14.6","14.5","12.5","12.3","11.7","11.1","9.0","5.3","2.6","-0.5","-3.1","-4.7","0.2","1.2",
"    Information and Communication","0.6","0.7","0.6","0.6","0.6","0.8","0.5","0.6","0.7","0.6","0.6","0.6","0.7","0.6","0.7","0.7","0.7","0.5","0.5","0.4","0.5","0.5","0.7","0.7","0.7","0.8","0.7","0.7","0.7","0.7","0.7","0.7","0.6",
